image,raw_reference,reference,name,equivalents,hex,confidence
01.png,IGloss White HI X2 22 4 2720,HI,Gloss White,Tamiya:X2; Humbrol:22; Revell:4; Testors:2720,#ffffff,0.8714669204891528
01.png,(Gloss Black H2 X-1 21 7 1747,H2,Gloss Black,Tamiya:X1; Humbrol:21; Revell:7; Testors:1747,#000000,0.8509100057970157
01.png,IGloss Red H3 X-7 19 31 2718,H3,Gloss Red,Tamiya:X7; Humbrol:19; Revell:31; Testors:2718,#b33f3c,0.954891919422784
01.png,(Gloss Yellow H4 X-8 69 12 2717,H4,Gloss Yellow,Tamiya:X8; Humbrol:69; Revell:12; Testors:2717,#fbe55d,0.964758809172449
01.png,IGloss Blue H5 X3 15 52,H5,Gloss Blue,Tamiya:X3; Humbrol:15; Revell:52,#0e1543,0.9380175838002837
01.png,IGloss Green H6 3 62,H6,Gloss Green,Humbrol:3; Revell:62,#081b11,0.8712887030933207
01.png,IGloss Brown H7 X-9 10 80,H7,Gloss Brown,Tamiya:X9; Humbrol:10; Revell:80,#b24126,0.9389629744805414
01.png,Metallic Silver H8 X-I1 11 90 1546,H8,Metallic Silver,Tamiya:X11; Humbrol:11; Revell:90; Testors:1546,#c3c4b9,0.9395590003261868
01.png,Metallic Gold H9 X-12 16 94 1744,H9,Metallic Gold,Tamiya:X12; Humbrol:16; Revell:94; Testors:1744,#ba9e5b,0.9094035929783536
01.png,Metallic Copper H1o XF-6 12 93 1551,H10,Metallic Copper,Tamiya:XF6; Humbrol:12; Revell:93; Testors:1551,#ac5a3b,0.8534464369421138
01.png,Flat White HI1 XF-2 33 301 / 5 1768,H11,Flat White,Tamiya:XF2; Humbrol:33; Revell:301/5; Testors:1768,#ffffff,0.7557764612497655
01.png,Flat Black H12 XF-1 34 302 / 8 1749,H12,Flat Black,Tamiya:XF1; Humbrol:34; Revell:302/8; Testors:1749,#000000,0.8789590293593545
01.png,Flat Red H13 XF-7 60 1550,H13,Flat Red,Tamiya:XF7; Humbrol:60; Testors:1550,#c23925,0.8732593563027424
01.png,(Gloss Orange H14 X-6 18 30 1595,H14,Gloss Orange,Tamiya:X6; Humbrol:18; Revell:30; Testors:1595,#da4727,0.912161610829243
01.png,Gloss Bright Blue H15 X-4 14 51 1510,H15,Gloss Bright Blue,Tamiya:X4; Humbrol:14; Revell:51; Testors:1510,#0e1c62,0.8931509204219978
