code,name,type,hex,equivalents,confidence
AK11366,Mustard Yellow,AFV,#bf8d38,Vallejo:71033; Federal Standard:33637; AK Old Reference:AK4132,
AK11367,Base Green (Protective),AFV,#302f21,,
AK11368,Russian Green 4B0,AFV,#394227,Vallejo:71017; Gunze / Mr. Color:136; Testor:2129; Real Colors:73,
AK11369,Russian Dark Brown 6K,AFV,#322918,Vallejo:71282; Testor:2126; Hataka:317; Real Colors:74,
AK11370,Russian Sand 7K,AFV,#79592d,Vallejo:71283; Lifecolor:UA242; Hataka:318; Real Colors:75,
AK11371,Protective Green 1920s-1930s,AFV,#232e1f,Real Colors:76,
AK11372,Washable White Paint,AFV,#ffffff,AK Old Reference:AK751,
AK11373,Khaki green No.3,AFV,#473b2d,Vallejo:71330; Hataka:64; Real Colors:33; AK Old Reference:AK4035,
AK11374,Silver Grey No.28,AFV,#908958,Vallejo:71401; Lifecolor:UA264; Real Colors:38; AK Old Reference:AK4032,
AK11375,Slate No.34,AFV,#45432a,Vallejo:71012; Gunze / Mr. Color:H73; Lifecolor:UA265; Real Colors:39; AK Old Reference:AK4033,
AK11377,Light Stone No.61,AFV,#c69847,Vallejo:71143; Lifecolor:UA266; Real Colors:40; AK Old Reference:AK4034,
AK11378,Portland Stone No.64,AFV,#e1bc85,Vallejo:71288; Lifecolor:UA267; Real Colors:41; AK Old Reference:AK4031,
AK11381,British Dark Olive Green PFI,AFV,#413c2b,Lifecolor:UA269; Real Colors:42,
AK11382,British Desert Pink ZI,AFV,#e9895b,Vallejo:71400; Lifecolor:UA268; Real Colors:4,
AK11383,British Light Mud,AFV,#787145,Vallejo:71284; Lifecolor:UA272,
AK11384,S.c.c_,AFV,#372920,Vallejo:71039; Lifecolor:UA274; Federal Standard:30059; Hataka:77; Real Colors:34,
AK11385,S.cC_,AFV,#71482a,Vallejo:71038; Lifecolor:UA273; Federal Standard:30097; Hataka:76; Real Colors:35,
AK11386,S.C.C. No.15 Olive Drab,AFV,#3a3826,Vallejo:71016; Gunze / Mr. Color:H30G; Lifecolor:UA270; Hataka:110; Real Colors:37,
AK11387,3B AU/ZB AU,AFV,#1d1d15,Vallejo:71281; Hataka:246; Real Colors:77,
AK11401,Base Flesh,FIG,#74452d,Vallejo:70341; Federal Standard:30233; AK Old Reference:AK3011,
AK11402,Light Flesh,FIG,#c98c73,Federal Standard:31433; AK Old Reference:AK3012,
AK11403,Highlight Flesh,FIG,#f9ca9f,Vallejo:70342; AK Old Reference:AK3013,
AK11404,Shadow Flesh,FIG,#823f36,Federal Standard:31136; AK Old Reference:AK3014,
AK11405,Dark Shadow Flesh,FIG,#4f2923,Humbrol:73; Vallejo:982; AK Old Reference:AK3015,
AK11406,Reddish Black,FIG,#33211f,Federal Standard:10049; AK Old Reference:AK3016,
AK11407,Black Uniform Base,FIG,#121211,Vallejo:70306; Gunze / Mr. Color:C137; Lifecolor:UA733; Federal Standard:26081; AK Old Reference:AK3002,
AK11408,Dot44 Brown Base,FIG,#4a3d2d,AK Old Reference:AK3021,
AK11409,Orange Tan,FIG,#bf8248,Federal Standard:32516; AK Old Reference:AK3022,
AK11410,Dark Green,FIG,#1f2820,AK Old Reference:AK3023,
AK11411,Light Green,FIG,#6f8142,AK Old Reference:AK3024,
AK11412,Medium Green,FIG,#27341f,Vallejo:70348; Gunze / Mr. Color:H303; Lifecolor:UAQ02; Federal Standard:34102; AK Old Reference:AK3025,
AK11413,Denison Tan Base,FIG,#856241,Vallejo:70339; Federal Standard:30227; AK Old Reference:AK3026,
AK11414,Splittermuster Base,FIG,#695f40,Vallejo:70332; Federal Standard:33303; AK Old Reference:AK3041,
AK11415,Splittermuster Green Spots,FIG,#2c3424,Federal Standard:34095; AK Old Reference:AK3043,
AK11416,Waffen Brown Grey,FIG,#41332a,AK Old Reference:AK3051,
AK11417,Waffen,FIG,#583c26,Vallejo:875; Federal Standard:30045; AK Old Reference:AK3055,
AK11418,Brown Black,FIG,#1e1712,Vallejo:70333; AK Old Reference:AK3056,
AK11419,Waffen Red Brown,FIG,#422a22,Humbrol:160; Vallejo:984; RAL:8011; Federal Standard:30108; AK Old Reference:AK3061,
AK11420,Waffen Green,FIG,#2f3822,AK Old Reference:AK3065,
AK11421,Dark Olive Green,FIG,#282e1b,Federal Standard:34094; AK Old Reference:AK3071,
AK11422,Ocher Khaki,FIG,#987a3c,Humbrol:93; Vallejo:824; Federal Standard:30266; AK Old Reference:AK3072,
AK11423,Field Grey Base #2,FIG,#3a3b31,Humbrol:79; Vallejo:867; Gunze / Mr. Color:68; Federal Standard:36099; AK Old Reference:AK3142,
AK11424,Grey Green,FIG,#91854d,Federal Standard:34424; AK Old Reference:AK3143,
AK11425,Field Grey Base #1,FIG,#3a3623,Humbrol:75; Vallejo:897; Federal Standard:34052,
AK11426,Grey Blue,FIG,#696e6e,Vallejo:70338; AK Old Reference:AK3146,
AK11427,Green Uniform Base,FIG,#2b301e,Vallejo:70335; Federal Standard:16165; AK Old Reference:AK3114,
AK11428,Light Green Uniform,FIG,#4d542c,Vallejo:70336; AK Old Reference:AK3115,
AK11429,Russian Uniform Lights,FIG,#656729,Federal Standard:34258; AK Old Reference:AK3121,
AK11430,Russian Uniform Base,FIG,#505225,Vallejo:70327; Federal Standard:34098; AK Old Reference:AK3122,
AK11431,Russian Blue Lights,FIG,#1f252f,AK Old Reference:AK3124,
AK11432,Russian Blue Base,FIG,#13161d,Vallejo:70309; AK Old Reference:AK3125,
AK11433,US Olive Base Uniform,FIG,#494220,,
AK11434,Red Brown,FIG,#6c3c2e,Vallejo:70343; AK Old Reference:AK3073,
AK11435,Field Drab,FIG,#715035,Vallejo:873; AK Old Reference:AK3075,
AK11436,Canvas Tone,FIG,#484027,Vallejo:988; AK Old Reference:AK3076,
AK11437,British Uniform Base,FIG,#63492d,Vallejo:70317; Federal Standard:16160; AK Old Reference:AK3081,
AK11438,British Uniform Lights,FIG,#805f2e,Vallejo:70321; Federal Standard:20475; AK Old Reference:AK3082,
AK11439,French Greyish Blue,FIG,#3c464b,Federal Standard:35109; AK Old Reference:AK3101,
AK11440,Desert Uniform Base,FIG,#8e6122,AK Old Reference:AK3111,
AK11801,WWI German Fokker,AIR,#718072,Federal Standard:FS34159; AK Old Reference:AK2271,
AK11802,WWI German Light Green,AIR,#6f8659,AK Old Reference:AK2272,
AK11803,WWI German Dark Green,AIR,#303d2c,Vallejo:71017; AK Old Reference:AK2273,
AK11804,WWI German Mauve,AIR,#745f74,Vallejo:71282; AK Old Reference:AK2274,
AK11805,WWI German Red Brown,AIR,#593119,Vallejo:71283; AK Old Reference:AK2275,
AK11806,WWI German Light Blue,AIR,#c2d9e8,AK Old Reference:AK2276,
AK11807,WWI German Lilac,AIR,#a48ba4,AK Old Reference:AK2277,
AK11808,WWI German Grey-Green Primer,AIR,#b0bba2,Vallejo:71330; AK Old Reference:AK2278,
AK11809,PC1O Late,AIR,#363928,Vallejo:71401; AK Old Reference:AK2282,
AK11810,PC12,AIR,#383029,Vallejo:71012; AK Old Reference:AK2283,
AK11811,RLM 02 RLM-Grau (1938),AIR,#8c8977,Tamiya:XF20; Humbrol:240; Vallejo:71044; Mr. Color:C60; Gunze Sangyo:H70; Lifecolor:UA504; Hataka:23; Real Colors:265,
