code,name,hex,equivalents,confidence
MIG-0001,OLIVGRUN OPT.1,#2e3425,TAMIYA:XF61; MODEL COLOR:70.888; RAL:RAL 6003,0.8177809291930267
MIG-0002,OLIVGRUN OPT.2,#47512a,HOBBY COLOR:H48; MR.COLOR:C52; TAMIYA:XF65; MODEL COLOR:70.890; MODEL AIR:71.092; Federal Standard:FS 34082; RAL:RAL 6003,0.8039895164911844
MIG-0003,RESEDAGRUN,#5c6e44,HOBBY COLOR:H312; MR.COLOR:C312; MODEL COLOR:70.891; MODEL AIR:71.126; Federal Standard:FS 34227; RAL:RAL 6011,0.8947584006661146
MIG-0004,RESEDAGRUN B,#47512a,HOBBY COLOR:H340; MR.COLOR:C340; RAL:RAL 6011,0.9856195091800695
MIG-0005,GRAUGRUN,#564e36,MODEL AIR:71.116; RAL:RAL 7008,0.8003193650396019
MIG-0006,GRAUGRUN OPT2,#7b7648,RAL:RAL 7008,0.7670371401430021
MIG-0007,DUNKELBRAUN,#493a2d,MODEL COLOR:70.347; MODEL AIR:71.248; RAL:RAL 7017,0.7917988360441458
MIG-0008,DUNKELGRAU,#21272e,HOBBY COLOR:H401; MODEL COLOR:70.862; MODEL AIR:71.056; RAL:RAL 7021,0.8499897063847718
MIG-0009,SANDGRAU,#b6a48a,HOBBY COLOR:H321; MR.COLOR:C321; RAL:RAL 7027,0.8349307573567286
MIG-0010,DUNKELGELB (MID WAR),#948440,HOBBY COLOR:H403; TAMIYA:XF60; MODEL AIR:71.025; RAL:RAL 7028,0.8168112119803048
MIG-0011,DUNKELGELB AUS '44 DG,#beb17e,MODEL COLOR:70.978; Federal Standard:FS 33440; RAL:RAL 7028,0.8339979683199066
MIG-0012,DUNKELGELB AUS '44 DG IIl,#d1c49d,RAL:RAL 7028,0.7657345843303225
MIG-0013,GELBBRAUN,#a0886d,HOBBY COLOR:H27; MR.COLOR:C44; TAMIYA:XF57; MODEL COLOR:70.879; MODEL AIR:71.272; RAL:RAL 8000,0.8872687640316922
MIG-0014,ROTBRAUN,#722e19,HOBBY COLOR:H47; HOBBY COLOR:H460; MR.COLOR:C41; TAMIYA:XF64; MODEL COLOR:70.814; MODEL AIR:71.271; RAL:RAL 8012,0.8992119208345375
MIG-0015,SCHOKOBRAUN,#442d28,HOBBY COLOR:H406; TAMIYA:XF10; MODEL COLOR:70.985; MODEL AIR:71.041; Federal Standard:FS 30059; RAL:RAL 8017,0.9348090516885534
MIG-0016,GELBBRAUN,#dabb75,RAL:RAL 8020,0.9993808796690595
MIG-0017,CREMEWEISS,#eee7bb,MODEL COLOR:70.918; MODEL AIR:71.270; RAL:RAL 9001,0.8029262908088419
MIG-0018,POLIZEI GRUN,#38594f,,0.9511629782158229
MIG-0019,RUSSIAN GREEN,#474727,MODEL COLOR:70.924; MODEL AIR:71.017,0.8321812082584463
MIG-0020,RUSSIAN BROWN,#352b25,MODEL COLOR:70.941; MODEL AIR:71.282,0.7137058847217022
MIG-0021,RUSSIAN TAN,#635438,MODEL COLOR:70.310; MODEL AIR:71.283,0.7629879281522803
MIG-0022,BASIC PROTECTOR ALKIDNO-URETANOVAYA,#362c18,MODEL COLOR:70.337; MODEL AIR:71.281,0.8987457852144007
MIG-0023,PROTECTIVE GREEN,#547b70,HOBBY COLOR:H312; MR.COLOR:C312; TAMIYA:XF71; Federal Standard:FS 34227,0.9196678210854866
MIG-0024,WASHABLE WHITE CAMO,#ffffff,,0.9052755254606667
MIG-0025,US MODERN VEHICLES,#bd9b76,MODEL COLOR:70.819; MODEL AIR:71.140; Federal Standard:FS 33446,0.8692486542406496
MIG-0026,SAND BROWN,#bd9882,HOBBY COLOR:H44; MR.COLOR:C51; MODEL COLOR:70.977; MODEL AIR:71.117; RAL:RAL 8031,0.9164332207636301
MIG-0027,GERMAN SAND BEIGE,#baa36d,MODEL COLOR:70.917; MODEL AIR:71.244; RAL:RAL 1039,0.8798570935583429
MIG-0028,GERMAN GREY BEIGE,#716a5b,MODEL COLOR:70.821; MODEL AIR:71.131; RAL:RAL 1039,0.8090848617483088
MIG-0029,DESERT SAND,#bca36e,,0.787442521611621
MIG-0030,SAND YELLOW,#c6964f,HOBBY COLOR:H459; MODEL AIR:71.143,0.9324596726683503
MIG-0031,SPANISH GREEN-KHAKI,#463f26,MODEL COLOR:70.314; MODEL AIR:71.247,0.8459947472041995
MIG-0032,SATIN BLACK,#0c0100,HOBBY COLOR:H2; MR.COLOR:C2; MR.COLOR:C92; MODEL COLOR:70.861,0.8917614400012452
MIG-0033,RUBBER & TIRES,#343234,HOBBY COLOR:H77; MR.COLOR:C137; MODEL COLOR:70.306; MODEL AIR:71.315,0.836836936323343
MIG-0034,RUST TRACKS,#2f1f18,MODEL COLOR:70.343; MODEL AIR:71.080; Federal Standard:FS 30111,0.7435102949166156
MIG-0035,DARK TRACKS,#030101,HOBBY COLOR:H84; MR.COLOR:C42; MODEL COLOR:70.302; MODEL AIR:71.039,0.8973972933351481
MIG-0036,OLD WOOD,#b09466,MODEL AIR:71.075,0.809361553813807
MIG-0037,NEW WOOD,#b49e6a,MODEL COLOR:70.321,0.863479496649831
MIG-0038,LIGHT WOOD,#ad9d77,HOBBY COLOR:H79; MR.COLOR:C39; TAMIYA:XF78; MODEL AIR:71.028,0.9427238757825807
MIG-0039,LIGHT RUST,#d3842a,HOBBY COLOR:H24; MR.COLOR:C58; MODEL COLOR:70.911; MODEL AIR:71.130,0.9282607019975198
MIG-0040,MEDIUM RUST,#a14e31,HOBBY COLOR:H453; MODEL COLOR:70.981; MODEL AIR:71.129,0.8954606846917166
