code,name,hex,equivalents,confidence
ATOM-20000,MATT WHITE,#ffffff,Ammo by Mig:MIG-0050; Gunze Sangyo:H11; Gunze Sangyo:H451; Mr. Color:C62; Tamiya:XF2; Vallejo Model Color:70951; Vallejo Model Air:71001,
ATOM-20001,SATIN WHITE,#ffffff,Ammo by Mig:MIG-0047; Gunze Sangyo:H1; Mr. Color:C1; Vallejo Model Color:70842,
ATOM-20002,CREMEWEISS RAL 9001,#f7efc9,Ammo by Mig:MIG-0905; Vallejo Model Color:70918; Vallejo Model Air:71270,
ATOM-20003,MIDGREY,#afaaa4,Ammo by Mig:AMMOF515,
ATOM-20004,WOOD,#c9b194,Ammo by Mig:MIG-0038; Vallejo Model Air:71075,
ATOM-20005,DUNKELGELB DG,#ddd0ac,Ammo by Mig:MIG-0012,
ATOM-20006,GERMAN SAND BEIGE RAL8031,#d0b47f,Ammo by Mig:MIG-0027,
ATOM-20007,DESERT SAND,#d4b482,Ammo by Mig:MIG-0029,
ATOM-20008,IDF SAND GREY '73,#c2ad8b,Ammo by Mig:MIG-0067,
ATOM-20009,US DESERT TAN,#d2ae8d,Ammo by Mig:MIG-0025; Vallejo Model Color:70819; Vallejo Model Air:71140,
ATOM-20010,DUNKELGELB DG,#d0c293,Ammo by Mig:MIG-0011; Vallejo Model Color:70978,
ATOM-20011,SAND GREY,#92814f,Ammo by Mig:MIG-0132; Gunze Sangyo:H85; Mr. Color:C45; Vallejo Model Air:71141,
ATOM-20012,DUNKELGELB,#a79370,Ammo by Mig:MIG-0010; Gunze Sangyo:H403; Tamiya:XF60; Vallejo Model Air:71025,
ATOM-20013,ZINC CHROMATE YELLOW,#be9d4b,Ammo by Mig:AMMOF505; Gunze Sangyo:H58; Mr. Color:C27; Tamiya:XF4; Vallejo Model Air:71107,
ATOM-20014,OCHRE,#c3b998,Ammo by Mig:AMMOF562,
ATOM-20015,GELBBRAUN 8020,#f1cd87,Ammo by Mig:MIG-0016,
ATOM-20016,FADED YELLOW,#e0cf80,Ammo by Mig:MIG-0130; Gunze Sangyo:H318; Mr. Color:C318,
ATOM-20017,LEMON YELLOW,#fac64c,,
ATOM-20018,YELLOW,#ffd52a,Ammo by Mig:AMMOF529; Gunze Sangyo:H4; Mr. Color:C4; Tamiya:XF3; Vallejo Model Color:70915; Vallejo Model Air:71002,
ATOM-20019,SUNNY YELLOW,#ffdb3b,,
ATOM-20020,GOLD YELLOW,#ffc329,,
ATOM-20021,SAND YELLOW,#e7ae58,Ammo by Mig:MIG-0030; Gunze Sangyo:H459; Vallejo Model Air:71143,
ATOM-20022,MUSTARD,#e7ae58,Ammo by Mig:MIG-0125; Gunze Sangyo:H413; Mr. Color:C113; Vallejo Model Color:70953; Vallejo Model Air:71078,
ATOM-20023,LIGHT RUST,#ffa62a,Ammo by Mig:MIG-0039; Gunze Sangyo:H24; Mr. Color:C58; Vallejo Model Color:70911; Vallejo Model Air:71130,
ATOM-20024,SANDGELB RLM 79,#d6a045,Ammo by Mig:MIG-0222; Gunze Sangyo:H66; Mr. Color:C119; Vallejo Model Color:70876; Vallejo Model Air:71278; RLM:RLM-79,
ATOM-20025,KHAKI GREEN,#c9c17d,Ammo by Mig:AMMOF554,
ATOM-20026,BRIGHT ORANGE,#ffa040,,
ATOM-20027,ORANGE,#ff812b,Ammo by Mig:MIG-0129; Gunze Sangyo:H14; Mr. Color:C59; Vallejo Model Color:70956; Vallejo Model Air:71083,
ATOM-20028,SCARLET RED,#dc371f,Ammo by Mig:AMMOF527,
ATOM-20029,RED,#f5381e,Ammo by Mig:MIG-0049; Gunze Sangyo:43; Gunze Sangyo:8434#2; Mr. Color:C3; Mr. Color:C79; Mr. Color:C114; Tamiya:XF7; Vallejo Model Color:70909; Vallejo Model Air:71003,
ATOM-20030,IMPERIAL RED,#e46153,,
ATOM-20031,BLOOD RED,#c9392a,Ammo by Mig:MIG-0121; Gunze Sangyo:H327; Mr. Color:C327; Vallejo Model Color:70908; Vallejo Model Air:71084,
ATOM-20032,CARMINE,#b53321,,
ATOM-20033,MAGENTA,#ff5faf,Ammo by Mig:AMMOF540,
ATOM-20034,FUCSIA,#e0408b,,
ATOM-20035,CORAL PINK,#c02c22,,
ATOM-20036,VINTAGE PINK,#c26166,,
ATOM-20037,DARK NUDE PINK,#c28d8e,,
ATOM-20038,GLACIER PINK,#e5c7c1,,
ATOM-20039,PINK FLESH,#ffcbc9,,
ATOM-20040,LIGHT PINK FLESH,#ffe2d9,,
ATOM-20041,BASIC SKIN,#fbc6b6,Ammo by Mig:AMMOF549,
ATOM-20042,LIGHT SKIN,#f1d1b6,Ammo by Mig:AMMOF548,
ATOM-20043,WARM SKIN,#c7977d,Ammo by Mig:AMMOF550,
ATOM-20044,BEIGE PINK,#ffb27f,Ammo by Mig:AMMOF558,
ATOM-20045,RUST,#d15f36,Ammo by Mig:MIG-0040; Gunze Sangyo:H453; Vallejo Model Color:70981; Vallejo Model Air:71129,
ATOM-20046,ROTBRAUN RAL 8012,#a03815,Ammo by Mig:MIG-0014; Gunze Sangyo:H47; Gunze Sangyo:H460; Mr. Color:C41; Tamiya:XF64; Vallejo Model Color:70814; Vallejo Model Air:71271,
ATOM-20047,DARK RUST,#902f17,"Ammo by Mig:MIG-0041; Gunze Sangyo:AMM0,F557; Mr. Color:C7; Tamiya:XF79; Vallejo Model Color:70818",
ATOM-20048,CLAY BROWN,#743a1a,Ammo by Mig:MIG-0079; Gunze Sangyo:437; Mr. Color:C43; Vallejo Model Air:71034,
ATOM-20049,BRITISH UNIFORM,#a17a25,Ammo by Mig:AMMOF545,
ATOM-20050,DARK WOOD,#72573b,Ammo by Mig:MIG-0923,
ATOM-20051,EARTH,#885d3c,Ammo by Mig:MIG-0073; Gunze Sangyo:H457; Tamiya:XF52; Vallejo Model Color:70874; Vallejo Model Air:71024,
ATOM-20052,EARTH BROWN,#9c4a2b,Ammo by Mig:MIG-0064; Vallejo Model Color:70303; Vallejo Model Air:71037,
ATOM-20053,RED BRICK,#9b4220,Ammo by Mig:MIG-0922,
ATOM-20054,OLD RUST,#855036,Ammo by Mig:AMMOF532,
ATOM-20055,UMBER BROWN,#814c41,Ammo by Mig:MIG-0034; Mr. Color:C131; Vallejo Model Color:70343; Vallejo Model Air:71080,
ATOM-20056,BURNT BROWN,#40280b,Ammo by Mig:AMMOF553,
ATOM-20057,BROWN,#5e382a,Ammo by Mig:MIG-0070; Gunze Sangyo:H341; Vallejo Model Color:70312; Vallejo Model Air:71035,
ATOM-20058,LEATHER,#4d2c20,Ammo by Mig:MIG-0042; Gunze Sangyo:H17; Mr. Color:C29; Tamiya:XF9; Vallejo Model Color:70859; Vallejo Model Air:71040,
ATOM-20059,BRAUNVIOLETT RLM 81,#7e4c47,Ammo by Mig:MIG-0255; Gunze Sangyo:H421; Mr. Color:C121; Vallejo Model Air:71264; RLM:RLM-81,
ATOM-20060,COFFEE BROWN,#5f3d37,,
ATOM-20061,NATO BROWN,#482c26,Ammo by Mig:MIG-0085; Tamiya:XF68; Vallejo Model Color:70871; Vallejo Model Air:71249,
ATOM-20062,SCHOKOBRAUN RAL8O17,#5a322b,Ammo by Mig:MIG-0015; Gunze Sangyo:H406; Tamiya:XF10; Vallejo Model Color:70985; Vallejo Model Air:71041,
ATOM-20063,BLACK BROWN,#361e16,Ammo by Mig:AMMOF533,
ATOM-20064,CHIPPING,#270e0c,Ammo by Mig:MIG-0035; Gunze Sangyo:H84; Mr. Color:C42; Vallejo Model Color:70304; Vallejo Model Air:71039,
ATOM-20065,DARK OLIVE DRAB,#433d1f,Ammo by Mig:MIG-0925; Gunze Sangyo:H78; Mr. Color:C38; Vallejo Model Color:70889; Vallejo Model Air:71043,
ATOM-20066,NATO GREEN,#424835,Ammo by Mig:MIG-0084; Gunze Sangyo:H80; Mr. Color:C54; Tamiya:XF67; Vallejo Model Air:71093,
ATOM-20067,OLIVGRiN (RLM 71),#333d25,Ammo by Mig:MIG-0001; Tamiya:XF61; Vallejo Model Color:70888; RLM:RLM-71,
ATOM-20068,IJA KAWASAKI GREEN,#3a442c,Ammo by Mig:MIG-0260; Gunze Sangyo:H60; Mr. Color:C130; Vallejo Model Air:71287,
ATOM-20069,OLIVE DRAB,#57502d,Ammo by Mig:MIG-0926; Gunze Sangyo:H304; Mr. Color:C304; Tamiya:XF62; Vallejo Model Air:71286,
ATOM-20070,SINAI GREY,#6f6536,Ammo by Mig:MIG-0131; Vallejo Model Air:71142,
