code,name,hex,equivalents,confidence
H56,Semi Gloss intermediate Blue,#1a2834,Tamiya:XF18; Humbrol:144; Testors:1720,0.9483159933737236
H57,Gloss Aircraft Grey,#557682,Humbrol:147; Testors:1731,0.905027468479052
H58,Semi Gloss Interior Green,#968b43,Humbrol:151,0.8982239251664885
H59,Gloss IJN Green,#20232c,Tamiya:XF11; Humbrol:75,0.8910174214804661
H60,Semi Gloss IJA Green,#17272a,Tamiya:XF13; Humbrol:195; Revell:363; Testors:1571,0.7942594253378296
H61,lGloss IJN Gray,#778588,Humbrol:146; Revell:70,0.7299044112970314
H62,Semi Gloss IJA Gray,#7f8f84,Tamiya:XF14; Humbrol:147,0.9216793361547106
H63,Metallic Blue-Green,#314c5a,,0.8362089592324333
H64,Semi Gloss Dark Green RLM-71,#2b2623,Humbrol:116; RLM:RLM-071,0.909279704005426
H65,Semi Gloss Black Green RLM-70,#1e1f28,RLM:RLM-070,0.6640488980201733
H66,Semi Gloss Sandy Brown RLM-79,#51392a,Tamiya:XF57; Humbrol:63; Revell:88; RLM:RLM-079,0.9537809645916628
H67,Semi Gloss Light Blue RLM-65,#4d7180,Humbrol:65; RLM:RLM-065,0.8169515941296749
H68,Semi Gloss Dark Grey RLM-74,#171a28,Humbrol:27; RLM:RLM-074,0.7341754056161524
H6,Semi Gloss Grey RLM-75,#333f47,RLM:RLM-075,0.6971008921515797
H70,Semi Gloss Grey RLM-02,#69644d,RLM:RLM-002,0.6438521897522935
H71,Semi Gloss Middle Stone,#4c3d2f,Humbrol:94,0.9857346437943095
H72,Semi Gloss Dark Earth,#312927,Humbrol:29; Revell:86380,0.9039304734908405
H73,Semi Gloss Dark Green,#193030,Tamiya:XF61; Humbrol:30,0.7806955702028328
H74,Semi Gloss Duck Egg Green,#a9ba71,Humbrol:23,0.9344235745206103
H75,Semi Gloss Dark Sea Gray,#b8b9b0,Tamiya:XF54; Humbrol:27,0.9412418678705701
H76,Metallic Burnt Iron,#242a33,Humbrol:53; Testors:1795,0.9905355002570317
H77,Flat Tire Black,#110d0a,Tamiya:X18; Humbrol:85; Testors:1583,0.8968863823169743
H78,Semi Gloss Olive Drab(2),#2a2e2c,Tamiya:XF58; Humbrol:66,0.9178350287955853
H79,Semi Gloss Sandy Yellow,#b28f59,Tamiya:XF59; Humbrol:93; Revell:16,0.9070723891076032
H80,Flat Khaki Green,#162026,Tamiya:XF51,0.9429789838647831
H81,Flat Khaki,#443529,Tamiya:XF49; Humbrol:26,0.9755602889650504
H82,Semi Gloss Dark Grey(t),#364343,Tamiya:XF20; Humbrol:126; Revell:47,0.8380409475262427
H83,Semi Gloss Dark Grey(2),#212432,Tamiya:XF24; Humbrol:112; Revell:57/378,0.9019304721785697
H84,Semi Gloss Mahogany,#251f27,,0.9900655326355797
H85,Flat Sail Color,#b29c67,Testors:2709,0.9019385135700514
H86,Gloss Red Madder,#c73e26,Revell:34; Testors:2719,0.8144298729813135
H87,Metallic Red,#94332d,Humbrol:51; Revell:96,0.9851859946233068
H88,Metallic Blue,#172f77,Tamiya:X13; Humbrol:52; Revell:98,0.97594298389838
H8,Metallic Green,#20513d,Humbrol:50; Revell:97,0.8955595148819857
H90,Gloss Clear Red,#d6442b,Tamiya:X27; Humbrol:1321; Revell:531,0.7683678053627585
H91,Gloss Clear Yellow,#f9dd5f,Tamiya:X24; Revell:512,0.9628576456104986
H92,Gloss Clear Orange,#d75c2f,Tamiya:X26; Humbrol:1322; Revell:530,0.7964541956718649
H93,Gloss Clear Blue,#1a70ca,Tamiya:X23; Revell:552,0.8867321447474941
H94,Gloss Clear Green,#2b6648,Tamiya:X26; Humbrol:1325; Revell:561,0.939574629541495
H95,Gloss Smoke Gray,#e0e7da,Tamiya:X19,0.8116963051882208
H96,Gloss Blue Smoke,#b7eaf0,,0.9211949504137269
H97,Gloss Fluo Yellow,#f5f270,Humbrol:194; Revell:312,0.8271704082954806
H98,Gloss Fluo Orange,#db4a2a,Humbrol:209,0.9603417751158203
H9,Gloss Fluo Pink,#d8454f,Humbrol:207,0.5964807966081138
H100,Gloss Fluo Green,#377048,Humbrol:203,0.8930746411846286
H301,Semi Gloss Gray FS-36081,#1f2632,Humbrol:32; FS:FS 36081,0.767440490822846
H307,Semi Gloss Grey FS-36320,#49657d,Humbrol:128; Testors:1741; FS:FS 36320,0.9208099861904259
H308,Semi Gloss Grey FS-36375,#598199,Humbrol:127; Testors:1728; FS:FS 36375,0.9014365476324535
H309,Semi Gloss Green FS-34079,#202b32,Humbrol:116; Testors:1710; FS:FS 34079,0.9106773384428539
H310,Semi Gloss Brown FS-30219,#3a3734,Tamiya:XF52; Humbrol:119; Revell:85; Testors:1742; FS:FS 30219,0.9030333632431075
H311,Semi Gloss Grey FS-36622,#ebf7e7,Humbrol:28; FS:FS 36622,0.866671226054246
H312,Semi Gloss Green FS-34227,#3d6150,Tamiya:XF26; Humbrol:120; Testors:1716; FS:FS 34227,0.8637889547596483
H313,Semi Gloss Yellow FS-33531,#d7c36d,Tamiya:XF60; Humbrol:121; Testors:1706; FS:FS 33531,0.961802334502493
H314,Semi Gloss Blue FS-35622,#daeeee,Tamiya:XF21; Humbrol:122; FS:FS 35622,0.7417444360102969
H315,Gloss Gray FS-16440,#a3b3a7,Tamiya:XF54; Humbrol:183; Testors:1729; FS:FS 16440,0.9527067543946754
H316,Gloss White FS-17875,#fefffa,Humbrol:22; FS:FS 17875,0.9859647361828864
H317,Flat Grey FS- 36231,#45494d,Humbrol:140; Testors:1740,0.9417956014743559
H318,Semi Gloss Radome,#feea8d,Humbrol:148; Testors:1709,0.9351796533953964
H319,Semi Gloss Light Green,#1f3136,,0.8874919396190499
H320,Semi Gloss Dark Green,#1a282d,Tamiya:XF27; Humbrol:30; Revell:360,0.924513037451394
H321,Semi Gloss Light Brown,#727964,,0.993535579469498
H322,Gloss Phthal 0 Yanne Blue,#182044,Revell:53; Testors:1594,0.9176674087391645
H323,lGloss Light Blue,#3a85d0,Tamiya:XF23,0.837752303704796
H324,Flat Light Grey,#8a9c9e,,0.9453722845455044
H325,Semi Gloss Grey FS-26440,#9fab9e,Humbrol:129; Testors:1730; FS:FS 26440,0.7799911370574526
H326,Gloss Blue FS-15044,#1b1e26,Humbrol:189; Testors:1719; FS:FS 15044,0.8230312015541648
H327,Gloss Red FS-11136,#8e4337,Humbrol:153; Testors:1705; FS:FS 11136,0.7951029528323322
H328,Gloss Blue FS-15050,#1d2133,Humbrol:190; Revell:350; Testors:1772; FS:FS 15050,0.9077150842515462
H329,Gloss Yellow FS-13538,#ebad56,Tamiya:XF3; Humbrol:154/188; Revell:310; Testors:1708; FS:FS 13538,0.8138623714580625
H330,Semi Gloss Dark Green BS381/C641,#202a35,Humbrol:163,0.8959326920547798
H331,Semi Gloss Dark Sea Grey BS381/C638,#1f2c3a,Humbrol:164,0.882720575082152
H332,Semi Gloss Light Aircraft Grey BS381/C627,#5f7783,Tamiya:XF25; Humbrol:166,0.8118676361845464
H333,Semi Gloss Extra Dark Sea Gray BS381/C640,#1e2836,Humbrol:123; Revell:351,0.9097878345893817
H334,Semi Gloss Barley Gray BS4800/18B21,#678198,Humbrol:167,0.8536179339053753
H335,Semi Gloss Medium Sea Gray BS381/C637,#3a4449,Humbrol:123,0.7994186311090801
H336,Semi Gloss Hemp BS4800/10B21,#5a7059,Humbrol:168,0.9655285904354579
H337,Semi Gloss Grayish Blue FS-35237,#375355,Humbrol:145; Revell:79; Testors:1721; FS:FS 35237,0.8574017431311424
H338,Semi Gloss Light Grey FS-36495,#b7c8c6,Humbrol:147; FS:FS 36495,0.949716625432322
H339,Gloss Engine Gray FS-16081,#273140,Humbrol:123; Testors:1592; FS:FS 16081,0.8395176966381962
H340,Semi Gloss Field Green FS-34097,#1a2535,Revell:362; Testors:1712; FS:FS 34097,0.8896450824534378
H341,FFlat Mud,#b8b8b8,,0.9171458584187677
H342,Gloss Oil Black,#b9b9b9,,0.9986927289207587
H343,Flat Soot,#b8b8b8,Humbrol:33; Testors:1785,0.818254814037278
H344,Flat Rust,#b8b8b8,Humbrol:113; Revell:83,0.9752376960903005
H345,Flat Rough Gray,#bbbbbb,,0.9340247927760271
H346,FFlat Rough Sand,#bdbdbd,Humbrol:93,0.7422060897187783
