code,name,hex,equivalents
HTK-_001,Dark Sea Blue,#51565e,"[{""brand"": ""Federal Standard"", ""code"": ""FS 15042""}, {""brand"": ""ANA"", ""code"": ""ANA 623""}, {""brand"": ""Humbrol"", ""code"": ""181""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H55""}, {""brand"": ""Tamiya"", ""code"": ""XF17""}, {""brand"": ""Testors"", ""code"": ""1717""}, {""brand"": ""Vallejo"", ""code"": ""71.300""}, {""brand"": ""Xtracolor"", ""code"": ""X121""}]"
HTK-_003,Silver (Met),#bdc4c5,"[{""brand"": ""RLM"", ""code"": ""RLM-01""}, {""brand"": ""Humbrol"", ""code"": ""11""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H8""}, {""brand"": ""Tamiya"", ""code"": ""X11""}, {""brand"": ""Testors"", ""code"": ""1790""}, {""brand"": ""Vallejo"", ""code"": ""71.063""}, {""brand"": ""Xtracolor"", ""code"": ""X038""}]"
HTK-_004,US Olive Drab 41 (Early),#736a5a,"[{""brand"": ""Vallejo"", ""code"": ""71.316""}]"
HTK-_005,Sky Blue,#bedef3,"[{""brand"": ""Federal Standard"", ""code"": ""FS 35466""}]"
HTK-_006,Semi-Gloss Sea Blue,#464b54,"[{""brand"": ""Federal Standard"", ""code"": ""FS 25042""}, {""brand"": ""ANA"", ""code"": ""ANA 606""}, {""brand"": ""Humbrol"", ""code"": ""181""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H55""}, {""brand"": ""Tamiya"", ""code"": ""XF17""}, {""brand"": ""Testors"", ""code"": ""1717""}, {""brand"": ""Vallejo"", ""code"": ""71.300""}, {""brand"": ""Xtracolor"", ""code"": ""X121""}]"
HTK-_007,Grey-Violet,#757677,"[{""brand"": ""RLM"", ""code"": ""RLM-75""}, {""brand"": ""Humbrol"", ""code"": ""246""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H69""}, {""brand"": ""Testors"", ""code"": ""2085""}, {""brand"": ""Vallejo"", ""code"": ""71.259""}, {""brand"": ""Xtracolor"", ""code"": ""X207""}]"
HTK-_008,Brown-Violet,#6d5a51,"[{""brand"": ""RLM"", ""code"": ""RLM-81""}, {""brand"": ""Humbrol"", ""code"": ""251""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H421""}, {""brand"": ""Testors"", ""code"": ""2090""}, {""brand"": ""Vallejo"", ""code"": ""71.264""}, {""brand"": ""Xtracolor"", ""code"": ""X210""}]"
HTK-_009,Dark Earth,#938976,"[{""brand"": ""Humbrol"", ""code"": ""29""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H72""}, {""brand"": ""Tamiya"", ""code"": ""XF52""}, {""brand"": ""Vallejo"", ""code"": ""71.323""}, {""brand"": ""Xtracolor"", ""code"": ""X002""}]"
HTK-_010,Dark Polish Khaki,#6b5d52,[]
HTK-_011,Light Polish Khaki,#75684e,[]
HTK-_012,Dark Tan,#9b8061,"[{""brand"": ""Federal Standard"", ""code"": ""FS 30219""}, {""brand"": ""ANA"", ""code"": ""ANA 628""}, {""brand"": ""Humbrol"", ""code"": ""118""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H310""}, {""brand"": ""Testors"", ""code"": ""1742""}, {""brand"": ""Vallejo"", ""code"": ""71.125""}, {""brand"": ""Xtracolor"", ""code"": ""X102""}]"
HTK-_013,Mid Stone,#c0a978,"[{""brand"": ""Humbrol"", ""code"": ""84""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H71""}, {""brand"": ""Testors"", ""code"": ""2052""}, {""brand"": ""Vallejo"", ""code"": ""71.031""}, {""brand"": ""Xtracolor"", ""code"": ""X009""}]"
HTK-_014,Sand-Yellow,#c5b283,"[{""brand"": ""Humbrol"", ""code"": ""249""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H66""}, {""brand"": ""Tamiya"", ""code"": ""XF60""}, {""brand"": ""Testors"", ""code"": ""2088""}, {""brand"": ""Vallejo"", ""code"": ""71.278""}, {""brand"": ""Xtracolor"", ""code"": ""X209""}, {""brand"": ""RLM"", ""code"": ""RLM-79""}]"
HTK-_015,Black-Green,#42473f,"[{""brand"": ""RLM"", ""code"": ""RLM-70""}, {""brand"": ""Humbrol"", ""code"": ""241""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H65""}, {""brand"": ""Tamiya"", ""code"": ""XF27""}, {""brand"": ""Testors"", ""code"": ""2080""}, {""brand"": ""Vallejo"", ""code"": ""71.021""}, {""brand"": ""Xtracolor"", ""code"": ""X204""}]"
HTK-_016,Dark Green,#5f6252,"[{""brand"": ""Federal Standard"", ""code"": ""FS 34079""}, {""brand"": ""ANA"", ""code"": ""ANA 631""}, {""brand"": ""Humbrol"", ""code"": ""116""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H309""}, {""brand"": ""Tamiya"", ""code"": ""XF81""}, {""brand"": ""Testors"", ""code"": ""1710""}, {""brand"": ""Vallejo"", ""code"": ""71.294""}, {""brand"": ""Xtracolor"", ""code"": ""X110""}]"
HTK-_017,Dark Green,#747a6f,"[{""brand"": ""RLM"", ""code"": ""RLM-71""}, {""brand"": ""Humbrol"", ""code"": ""242""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H64""}, {""brand"": ""Tamiya"", ""code"": ""XF58""}, {""brand"": ""Testors"", ""code"": ""2081""}, {""brand"": ""Vallejo"", ""code"": ""71.015""}, {""brand"": ""Xtracolor"", ""code"": ""X205""}]"
HTK-_018,US Olive Drab (Late),#797258,"[{""brand"": ""ANA"", ""code"": ""ANA 613""}, {""brand"": ""Gunze Sangyo"", ""code"": ""H52""}, {""brand"": ""Testors"", ""code"": ""2050""}, {""brand"": ""Vallejo"", ""code"": ""71.016""}, {""brand"": ""Xtracolor"", ""code"": ""X112""}]"
HTK-_019,Medium Green 42,#475d4f,"[{""brand"": ""Vallejo"", ""code"": ""71.124""}]"
