code,name,hex,equivalents
540,,#575E58,RAL:RAL 9108
2,,#067F36,Tamiya:X5; Federal Standard:FS 14110; Gunze Sangyo:H46; Mr. Hobby:C66; RAL:RAL 6029
3,,#213C20,Tamiya:X5; Federal Standard:FS 11146; Federal Standard:FS 14062; Gunze Sangyo:H6; Mr. Hobby:C6; RAL:RAL 6005; RAL:RAL 1111
5,,#6F7179,Tamiya:XF66; Federal Standard:FS 36187; Gunze Sangyo:H22; Mr. Hobby:C13; RAL:RAL 7000
913,,#AA0076,Federal Standard:FS 33531; RAL:RAL 1121
80,,#AE5519,Federal Standard:FS 11101; Federal Standard:FS 10115; Gunze Sangyo:H27; Mr. Hobby:C44; RAL:RAL 8003; RAL:RAL 1127
10,,#433425,Tamiya:X9; Federal Standard:FS 30108; Gunze Sangyo:H7; Mr. Hobby:C7; RAL:RAL 8017; RAL:RAL 1425
90,,#DBDBDA,Federal Standard:FS 11209; Federal Standard:FS 17178; Gunze Sangyo:H8; Mr. Hobby:C8; RAL:RAL 9006; RAL:RAL 1129
12,,#A36319,Tamiya:XF6; Federal Standard:FS 11197; Mr. Hobby:C10
14,,#144792,Tamiya:X4; Federal Standard:FS 11182; Federal Standard:FS 15052; Gunze Sangyo:H15; Mr. Hobby:C65; RAL:RAL 5005; RAL:RAL 1429; RAL:RAL 9117
15,,#24305D,Tamiya:X3; Federal Standard:FS 11189; Federal Standard:FS 15050; Gunze Sangyo:H5; Mr. Hobby:C5; RAL:RAL 5022
16,,#AD6016,Tamiya:X12; Mr. Hobby:C9; RAL:RAL 1132
18,,#E5630D,Tamiya:X6; Federal Standard:FS 11080; Federal Standard:FS 12246; Gunze Sangyo:H14; RAL:RAL 2004; RAL:RAL 1442
19,,#D81420,Tamiya:X7; Federal Standard:FS 11091; Federal Standard:FS 11302; Gunze Sangyo:H3; Mr. Hobby:C3; RAL:RAL 3000; RAL:RAL 1142; RAL:RAL 9279
20,,#93191D,Federal Standard:FS 11095; Federal Standard:FS 10076; Gunze Sangyo:H43; RAL:RAL 3004; RAL:RAL 1460; RAL:RAL 9002
21,,#242222,Tamiya:X1; Federal Standard:FS 17038; Gunze Sangyo:H27; Mr. Hobby:C2; RAL:RAL 9005
22,,#FFFFFF,Tamiya:X2; Federal Standard:FS 17875; Gunze Sangyo:H1; Mr. Hobby:C1; RAL:RAL 9010
23,,#DB0023,Federal Standard:FS 34424; Gunze Sangyo:H74; Mr. Hobby:C26; RAL:RAL 1109; RAL:RAL 9036
24,,#F8BF29,Federal Standard:FS 33538; Gunze Sangyo:H34; Mr. Hobby:C113; RAL:RAL 1017
25,,#223A7D,Tamiya:XF8; Federal Standard:FS 11181; Federal Standard:FS 35052; Gunze Sangyo:H56; Mr. Hobby:C80; RAL:RAL 5019; RAL:RAL 1415
26,,#9B681C,Tamiya:XF49; Federal Standard:FS 11126; Federal Standard:FS 30277; Gunze Sangyo:H81; Mr. Hobby:C55; RAL:RAL 7008; RAL:RAL 9160
27,,#585456,Tamiya:XF54; Federal Standard:FS 11018; Federal Standard:FS 36231; Gunze Sangyo:H68; Mr. Hobby:C36; RAL:RAL 7031
28,,#CDC1C1,Tamiya:XF55; Federal Standard:FS 11006; Federal Standard:FS 36622; Gunze Sangyo:H311; Mr. Hobby:C311
29,,#85664D,Tamiya:XF52; Federal Standard:FS 11127; Federal Standard:FS 30219; Gunze Sangyo:H72; Mr. Hobby:C22; RAL:RAL 7006; RAL:RAL 1120
30,,#1E6846,Tamiya:XF58; Federal Standard:FS 11150; Federal Standard:FS 34096; Gunze Sangyo:H320; Mr. Hobby:C320
31,,#63615D,Tamiya:XF25; Federal Standard:FS 34159; RAL:RAL 7005
32,,#41464E,Tamiya:XF24; Federal Standard:FS 36081; Mr. Hobby:C301; RAL:RAL 1118; RAL:RAL 9083
33,,#1E1E1C,Federal Standard:FS 11029; Federal Standard:FS 37038; Gunze Sangyo:H12; Mr. Hobby:C33; RAL:RAL 9011; RAL:RAL 1101; RAL:RAL 9065
34,,#FFFFFF,Tamiya:XF2; Federal Standard:FS 11001; Federal Standard:FS 37875; Gunze Sangyo:H11; Mr. Hobby:C62; RAL:RAL 9001; RAL:RAL 1102; RAL:RAL 9039
35,,#AD6035,Tamiya:X22; Mr. Hobby:C46
36,,#D4E3A9,
37,,#5CA831,RAL:RAL 9012
38,,#AA0415,Tamiya:X15; Federal Standard:FS 11137; Gunze Sangyo:H16; Mr. Hobby:C64
40,,#DB0040,Federal Standard:FS 16492; Gunze Sangyo:H317; Mr. Hobby:C317; RAL:RAL 7032; RAL:RAL 1481; RAL:RAL 9086
42,,#CEA1CF,RAL:RAL 9023
44,,#DB0044,RAL:RAL 1452; RAL:RAL 9267
46,,#E5630D,RAL:RAL 1211
47,,#63AFDD,Federal Standard:FS 11175; Federal Standard:FS 35450; Gunze Sangyo:H45; Mr. Hobby:C20; RAL:RAL 5012; RAL:RAL 1113; RAL:RAL 9018
48,,#368AB1,Tamiya:X14; Gunze Sangyo:H25; Mr. Hobby:C34; RAL:RAL 5002; RAL:RAL 1452
49,,#AD6049,Tamiya:X21
52,,#166249,Tamiya:X13; Federal Standard:FS 11184; Gunze Sangyo:H88; Mr. Hobby:C76; RAL:RAL 9116
53,,#363120,Tamiya:X10; Federal Standard:FS 11212; Federal Standard:FS 17200; Gunze Sangyo:H76; Mr. Hobby:C61
54,,#DE9301,Federal Standard:FS 11194
55,,#B35919,Federal Standard:FS 11196; RAL:RAL 1133
56,,#AD6056,Tamiya:XF56; Federal Standard:FS 11210; Gunze Sangyo:H18; Mr. Hobby:C28; RAL:RAL 9006; RAL:RAL 1130
57,,#EDAEB3,RAL:RAL 1408
58,,#BC4B95,RAL:RAL 9027
60,,#B91B1B,Tamiya:XF7; Federal Standard:FS 11090; Gunze Sangyo:H13; RAL:RAL 3000; RAL:RAL 9005
61,,#EB8D54,Federal Standard:FS 11056; Gunze Sangyo:H44; Mr. Hobby:C51; RAL:RAL 1126; RAL:RAL 9032
62,,#AD5527,Federal Standard:FS 11119; Federal Standard:FS 33275; Gunze Sangyo:H66; RAL:RAL 8023; RAL:RAL 9043
63,,#D69846,Tamiya:XF59; Federal Standard:FS 11118; Federal Standard:FS 30257; RAL:RAL 9032
64,,#AD6064,Tamiya:XF12; Federal Standard:FS 36496; Gunze Sangyo:H335; Mr. Hobby:C335; RAL:RAL 7001; RAL:RAL 9038
65,,#CADAD5,Federal Standard:FS 11132; Gunze Sangyo:H67; RAL:RAL 6027; RAL:RAL 9288
66,,#414345,Tamiya:XF65; Federal Standard:FS 34087; Gunze Sangyo:H78; Mr. Hobby:C38; RAL:RAL 7010; RAL:RAL 9083
67,,#2E3B40,Tamiya:XF63; Federal Standard:FS 11025; Gunze Sangyo:H32; RAL:RAL 7024; RAL:RAL 9226
68,,#2B1D46,Tamiya:X16; Federal Standard:FS 11073; Federal Standard:FS 17100; Mr. Hobby:C67; RAL:RAL 9027
69,,#FFD902,Tamiya:X8; Federal Standard:FS 11044; Federal Standard:FS 13591; Gunze Sangyo:H4; Mr. Hobby:C4; RAL:RAL 1018; RAL:RAL 1107; RAL:RAL 9008
70,,#985435,Tamiya:XF68; RAL:RAL 3009; RAL:RAL 1464; RAL:RAL 9071
72,,#DB0072,Tamiya:XF49; Federal Standard:FS 34201; Gunze Sangyo:H81; RAL:RAL 9148
73,,#90484D,Tamiya:XF9; Gunze Sangyo:H13; RAL:RAL 1105; RAL:RAL 9071
74,,#FFD740,Federal Standard:FS 11033
75,,#5E5AAD,Federal Standard:FS 34077; Gunze Sangyo:H59; Mr. Hobby:C15; RAL:RAL 6031; RAL:RAL 9269
76,,#546C51,Tamiya:XF26; Federal Standard:FS 11036; Federal Standard:FS 34115
79,,#585F6F,Gunze Sangyo:H54; Mr. Hobby:C14
77,,#595C5E,Federal Standard:FS 36118; Gunze Sangyo:H305; Mr. Hobby:C305; RAL:RAL 7012
128,,#9AB3C4,Tamiya:XF53; Federal Standard:FS 11114; Federal Standard:FS 26320; Mr. Hobby:C307; RAL:RAL 1455
