code,name,hex
C302,Unnamed,#344846
C303,Unnamed,#455049
C304,Unnamed,#35342f
C305,Unnamed,#425a59
C308,Unnamed,#6e8787
C309,Unnamed,#344846
C310,Unnamed,#5f5449
C311,Unnamed,#e0dfc3
C313,Unnamed,#d5b07e
C314,Unnamed,#e1eedf
C315,Unnamed,#83958e
C318,Unnamed,#f4c485
C319,Unnamed,#2d5a4d
C320,Unnamed,#3d493f
C323,Unnamed,#29a6d5
C324,Unnamed,#79918c
C325,Unnamed,#8e998e
C328,Unnamed,#282f41
C329,Unnamed,#e48c39
C330,Unnamed,#353e3e
C332,Unnamed,#7a8277
C233,Unnamed,#2e3e45
C334,Unnamed,#6f807d
C335,Unnamed,#546465
C338,Unnamed,#a5acab
C340,Unnamed,#344738
C351,Unnamed,#656345
C352,Unnamed,#a0893c
C362,Unnamed,#4d5556
C363,Unnamed,#687779
C365,Unnamed,#000316
C366,Unnamed,#4b5d68
C367,Unnamed,#5b7477
C368,Unnamed,#93a285
C369,Unnamed,#443d2e
C370,Unnamed,#4e708f
C374,Unnamed,#4a6c87
C375,Unnamed,#21252e
C376,Unnamed,#a8b0a9
C383,Unnamed,#273b35
C384,Unnamed,#6a6942
C385,Unnamed,#2d947a
C391,Unnamed,#2d947a
C392,Unnamed,#33889f
C393,Unnamed,#0d010b
C511,Unnamed,#404b2f
C513,Unnamed,#333d44
C514,Unnamed,#435a5f
C515,Unnamed,#4b6266
C516,Unnamed,#2f352c
C517,Unnamed,#352e26
C518,Unnamed,#2a281e
C520,Unnamed,#3b2e23
C621,Unnamed,#1e2021
C522,Unnamed,#443f3e
C523,Unnamed,#474f41
C524,Unnamed,#706540
C525,Unnamed,#2e3d33
C526,Unnamed,#6c5547
C528,Unnamed,#b19b77
C529,Unnamed,#70695d
C606,Unnamed,#4e3c35
