code,name,hex
RLM-01,Silber,#797e80
RLM-02,Grau (1940),#706956
RLM-02-1,Grau,#716958
RLM-03,Silber,#797e80
RLM-04,Gelb (Signalgelb),#f1b136
RLM-05,Elfenbein,#cec458
RLM-11,Grau,#6a6662
RLM-21,Weil,#fcf7f3
RLM-22,Schwarz,#171c1e
RLM-23,Rot,#c1391e
RLM-24,Dunkelblau,#1a2b4d
RLM-25,Hellgrun,#345454
RLM-26,Braun,#803f22
RLM-27,Gelb,#fedf69
RLM-28,Weinrot,#30140d
RLM-41,Seidegrau,#2c3234
RLM-42,Gerategrau,#374042
RLM-61,Dunkelbraun,#373029
RLM-62,Grin,#403f2c
RLM-63-1,Gringrau,#4f5040
RLM-64,Lichtblau,#92bdde
RLM-65,Hellblau,#7dadd6
RLM-66,Schwarzgrau,#171918
RLM-67,Dunkelolivgriin,#2f302c
RLM-68,Hellolivgriin,#34392e
RLM-69,Lichtlohfarbe,#e0a866
RLM-70,Schwarzgriin,#30362d
RLM-71,Dunkelgrin,#2b2c1d
RLM-75,Mittelgrau,#2e2a2a
RLM-76-1,Graublau,#9aaea3
RLM-77,Hellgrau,#e2e4e3
RLM-78,Himmelblau,#91a39f
RLM-78-1,Blau,#657997
RLM-79,Sandgelb-Hell,#c1935d
RLM-79-1,Sandgelb-braun,#55442b
RLM-80,Olivgriin,#202d1f
RLM-81,Dunkelgrin,#3a382c
RLM-81-1,Braunviolett,#373029
RLM-82,Dunkelgriin,#272427
RLM-82-1,Dunkelgrin,#403f2c
RLM-83,Hellgruin,#46553d
RLM-99,Hellgrinblau,#b8ca9c
