code,name,hex
69.001,Pure White,#edbe94
69.002,White Grey,#edbe94
69.003,Off-White,#b9b9ad
69.004,Yellow,#dad4c2
69.005,Light Flesh,#edbe94
69.006,Pink,#edbe94
69.007,Orange,#cb816b
69.008,Red,#d7633b
69.009,SZ Red,#963b3c
69.010,Magenta,#963b3c
69.011,Dark Red,#8b3e65
69.012,Purple,#652b33
69.013,Titan Blue,#283848
69.014,Grey Green,#283848
69.015,Blue Grey,#586c6d
69.016,Light Blue,#627a88
69.017,Sky Blue,#61b2cf
69.018,Deep Blue,#66b4d0
69.019,Blue,#2c84a7
69.020,Electric Blue MECHA METALLIC 17 ml,#2c4a6e
69.021,Dark Blue,#445665
69.022,Titan Dark Blue,#445665
69.023,Turquoise,#303637
69.024,Stone Grey,#1d908b
69.025,Light Green,#b0b8a8
69.026,Green,#b0b8a8
69.027,Green Blue,#7b8671
69.028,Olive Green,#72886d
69.029,Green,#6b7665
69.030,Dark Green,#6b7665
69.031,Grey Sand,#434840
69.032,Yellow Ochre,#827e6b
69.033,Sand Yellow,#d08f3d
69.034,Brown,#e3b270
69.035,Chipping Brown,#5e4f3e
69.036,Light Grey,#33312e
69.037,Grey,#a53331
69.038,Medium Grey,#758388
69.039,Grey Z,#1f1e1e
69.040,Phantom Grey,#5e6462
69.041,Dark Grey Green,#8987af
69.042,Pure Black,#3c3f3f
69.054,Yellow Fluorescent,#2f4e71
69.055,Orange Fluorescent,#e4de62
69.056,Magenta Fluorescent,#d46036
69.057,Green Fluorescent,#cc4d80
69.058,Gunmetab,#859592
69.059,Gold,#555b5c
69.060,Old Gold,#998158
69.061,Copper,#756346
69.062,Bronze,#4b553f
69.063,Stee,#5c513a
69.064,Light Steel,#42596d
69.065,Dark Steel,#539678
69.066,Metallic Red,#c07e40
69.067,Metallic Blue,#945056
69.068,Metallic Green,#42596d
70.400,Unknown,#d1d1d0
70.470,Unknown,#d5d5d4
70.510,Unknown,#cdcdcd
70.520,Unknown,#626262
70.521,Unknown,#d5d5d4
70.522,Unknown,#cdcdcd
70.523,Unknown,#d1d1d0
70.524,Unknown,#d5d5d4
70.540,Unknown,#cccbcb
70.596,Unknown,#cccccc
70.597,Unknown,#d1d1d0
70.600,White Blanco Grey,#d1d1cf
70.601,Gris Negro,#d1d2d1
70.602,Black,#d9d9d8
70.603,Dunkelgrau RAL7O21   Dunkelgelb RAL7028 German Panzer Grey,#d9d9d8
70.604,German Dark Yellow,#cac9c9
70.605,German Red Brown Rotbraun RAL8O,#a8a09b
70.606,Germ. Green Brown Gelbbraun RAL8OOO   Verde Bronce UK,#45312e
70.607,UK Bronze Green,#ced0d0
70.608,USA Olive Drab Verde Oliva USA,#dbdbda
70.609,Verde Ruso 4BO Russian Green 4BO,#d3d3d2
70.610,Parched Grass (Late) Earth Green (Early) IJA-Kare-Kusa-IRO,#d6d6d5
70.611,IJA Tsuchi-Kusa-IRO  Verde OTAN,#d1d0cf
70.612,NATO Green,#4a442e
70.613,Arena Desierto Desert Tan,#384137
70.614,IDF Isr Sand IDF Gris Arena Isr: Grey _ (61-73)   USN Light Ghost Grey,#c6bfb3
70.615,USN Gris Claro,#d7d6d5
70.625,Unknown,#d0d0cf
70.629,Unknown,#e5923d
70.630,Unknown,#d0d0cf
70.631,Unknown,#667d86
70.632,Unknown,#e5923d
70.740,Cam Middle Brown Cam Marron Medio   Sombra Tostada,#322e20
70.741,Cam. Black Green,#2a2c26
70.745,Dark Rose Rosa Oscuro Sunny Skin Tone,#5f4543
70.746,Chestnut Brown Marron Castano,#725341
70.747,Faded Red Rojo Desgastado,#5a2e2d
70.748,Light Pink Rosa Claro,#3b2a29
70.749,Dark Purple Purpura Oscuro,#c9c9c9
70.750,Light Violet Violeta Claro,#867e8c
70.751,Black Violet Violeta Negro,#d4d5d4
70.752,Azul Infanteria 63 Sky,#d3d4d3
70.753,Light Blue Green Azul Verde Claro,#213d57
70.754,Continental Azul Continental Blue 73 Light Emerald,#cacaca
70.755,Esmeralda Claro,#d6d6d6
70.756,Splinter Green Verde Splinter,#d5d6d5
70.757,Pacific Green Verde Pacifico 81 Gunship Green,#4d5f56
70.758,Bright Green Verde Claro 85 Intermediate Green   Fern Green,#3c413a
70.759,German Tank Crew,#414032
70.760,Light Mud Lodo Claro,#685d4d
70.761,139,#5a5a59
70.762,Marron Grisaceo,#5d5540
70.763,Lona Canvas,#626362
70.764,Military Yellow 125 Japan. Unif WWII,#dad9d9
70.765,Unknown,#5a5a59
70.766,Cream White Blanco Crema,#d0d1d0
70.767,Unknown,#626261
70.768,Unknown,#dbdbda
70.769,Unknown,#626261
70.770,Unknown,#5a5a59
70.771,Unknown,#cbcbca
70.772,Unknown,#cacaca
70.773,Unknown,#525252
70.774,Unknown,#575757
70.790,Unknown,#c8cfce
70.791,Unknown,#c4bfb6
70.792,Unknown,#afa045
70.793,Unknown,#8e703b
70.794,Unknown,#b07e39
70.795,Unknown,#706034
70.796,Unknown,#cdd0cc
70.797,Unknown,#793f2d
70.800,204,#a99997
70.801,Unknown,#a99997
70.802,Sunset Red Rojo Sunset 45 Violet Red,#6c3347
70.803,Brown Rose Rosa Marron,#b4aba9
70.804,Beige Red Rojo Beige,#d4d4d3
70.805,Naranja Aleman Rosa Antiguo,#c88b7b
70.806,German Yellow Amarillo Lasur,#d3d3d3
70.807,Oxford Blue Azul Oxford,#444266
70.808,Blue Green Azul Verde 69 Light Turquoise Turquesa Claro,#31858b
70.809,Royal Blue Azul Real,#cecece
70.810,Purpura Real Royal Purple,#d5d6d5
70.811,Violeta Azul Blue Violet,#444266
70.812,Rojo Violeta,#cdcecd
70.814,163,#616160
70.815,Carne Base Basic Skin Tone,#d4d4d4
70.816,Unknown,#d7d7d6
70.817,Scarlet,#b3533f
70.818,Unknown,#cacaca
70.819,Unknown,#606060
70.820,Off-White Blanco Pergamino Ivory,#d5864f
70.821,Germ: Beige WWII Beige Alem. WWII,#685d4d
70.822,Unknown,#d5d4d4
70.823,Luftwaffe Green Verde Luftwaffe 95 Military Green,#3d4738
70.824,Unknown,#cececd
70.825,Unknown,#d9d9d9
70.826,Medium Brown 129,#5a5a59
70.827,Lime Green Verde Lima,#6e8146
70.828,193,#a99997
70.829,Amaranth Red Rojo Amaranth 36 Escarlata,#98534a
70.830,Ger Fieldgrey WWII Verde Aleman WII  Carrista Aleman,#d3d4d3
70.833,Verde Helecho,#495842
70.835,Salmon Rose Rosa Salmon German Orange,#cdcecd
70.836,Unknown,#cdcccc
70.837,Pale Sand Arena Clara,#d0d1d0
70.838,Emerald Esmeralda,#d0d0d0
70.840,Unknown,#246971
70.841,Andrea Blue Azul Andrea,#4880a2
70.843,Cork Brown Marron Corcho,#d3d3d3
70.844,Azul Profundo Sky Blue,#9eafab
70.845,Carne Dorada,#5f4543
70.846,Unknown,#d5d3d3
70.847,Unknown,#606060
70.850,Medium Olive Oliva Medio,#38412d
70.851,Bright Orange Naranja Intenso,#cecdcc
70.856,Unknown,#595958
70.858,Ice Yellow Amarillo Hielo,#cdad7d
70.859,Rojo Negro Black Red,#3b2a29
70.860,Carne Medio Med. Flesh Tone,#bb8d5d
70.861,192,#cccccb
70.862,Unknown,#d6d6d5
70.863,198,#626262
70.864,Unknown,#5f5f5d
70.865,196,#d6d6d5
70.866,Unknown,#d3d2d2
70.867,Unknown,#575757
70.868,Unknown,#5c5d5c
70.869,Unknown,#5f5f5d
70.870,Unknown,#d0d0d0
70.871,Unknown,#9e9390
70.872,Unknown,#d8d7d7
70.873,Unknown,#d9d9d9
70.874,Unknown,#cfcfcf
70.875,Unknown,#60605f
70.876,Brown Sand Arena Marron,#81604b
70.877,158,#626261
70.878,Unknown,#575757
70.879,Green Brown,#595959
70.880,Unknown,#d8d4cd
70.881,Green Yellow,#939080
70.882,Middle Stone 124,#ded9cf
70.883,Unknown,#d4cfc8
70.884,Stone Grey Gris Piedra,#706958
70.885,Pastel Green Verde Pastel,#84886d
70.886,Green Gris Verdoso Grey,#84886d
70.887,US Olive Drab 122,#d1d1ce
70.888,Olive Gris Oliva Grey,#5c5b5b
70.889,Olive Brown,#60605f
70.890,Verde Refractario Refractive Green,#35372e
70.891,Verde Medio,#5f6f49
70.892,Yellow Olive Oliva Amarillo,#272c27
70.893,US Dark Green Verde Americano,#404131
70.894,Cam: Olive Green Cam: Verde Oliva 108 Cam: Verde Negro,#5c5b5b
70.895,Verde Acorazado,#89948e
70.896,Extra Dark Green Verde Extra Osc.,#272c27
70.897,Bronze Green Verde Bronce,#353f38
70.898,Dark Sea Blue Azul Marina Osc.,#919da3
70.899,Dark Prussian Blue Azul de Prusia Osc   Azul Pastel,#d5d5d5
70.901,Pastel Blue,#221d2a
70.902,Azure Azul Azur,#cccccc
70.905,178,#5c5d5c
70.906,Unknown,#595958
70.907,Unknown,#595958
70.908,Carmine Red Rojo Carmin,#a23733
70.909,Vermilion Bermellon,#d5d6d5
70.911,Light Orange Naranja Claro 29,#e7974b
70.913,Unknown,#cbcbca
70.914,132,#d6d6d6
70.915,Deep Yellow Amarillo Intenso,#d4c248
70.916,Unknown,#d5d4d4
70.917,Unknown,#d8d7d3
70.918,Hueso,#936651
70.919,Cold White Blanco Frio,#5f4543
70.920,German Uniform Uniforme Aleman,#dcdcdb
70.921,English Uniform 128,#626261
70.922,Uniform Green Verde Uniforme,#424f35
70.923,126,#595959
70.924,Russian Unif WWII Unifor Ruso WWII,#696856
70.925,Blue Azul Intenso Infantry Blue,#d4d5d4
70.926,Red Rojo,#76312d
70.927,Carne Oscura Dark Flesh,#c48557
70.928,Light Flesh Carne Clara,#81604b
70.929,Light Brown Marron Claro,#d8d8d7
70.930,Dark Blue Azul Oscuro,#27324d
70.939,Unknown,#cccbcb
70.940,153,#c9c8c8
70.941,Burnt Umber,#362f22
70.943,Unknown,#cccccb
70.944,Old Rose,#d5d5d4
70.945,Magenta Magenta,#b5a5aa
70.946,Rojo Oscuro Dark Red,#b19795
