panel,cell_index,code,name,hex
panel_01.png,0,71.208,81 Yellow Game Color Fluo,#f9f3b3
panel_01.png,1,71.103,101 Fluorescent Yellow Game Color Spee 72.600 89 Vomit 72.609 98 Rust Auxiliary Produc,#faeb3d
panel_01.png,3,71.521,Metal Medium,#f6f6f6
panel_01.png,4,,72.401 137 Templar White 72.410 146 Gloomy Violet,#ea672f
panel_01.png,5,71.419,155 Plague Green 72.452 164 Rotten Flesh,#eaeaea
panel_01.png,6,71.204,Flesh,#d2bdb3
panel_01.png,7,71.156,102 Fluorescent Orange cial FX 72.601 90 Fresh Blood 72.610 99 Galvanic Corrosion ts,#e63c11
panel_01.png,9,71.596,Glaze Medium,#f8f8f7
panel_01.png,10,,72.402 138 Dwarf Skin 72.411 147 Mystic Blue,#eb7a46
panel_01.png,11,71.420,156 Wasteland Brown 72.453 165 Military Yellow,#f1f1f1
panel_01.png,12,71.206,Red,#e1ab9a
panel_01.png,13,71.157,103 Fluorescent Red 72.602 Thick Blood 72.611 100 Moss and Lichen,#e42e3f
panel_01.png,15,71.261,Airbrush Thinner,#f7f7f7
panel_01.png,16,71.403,139 Imperial Yellow 72.412 148 Storm Blue,#ef9467
panel_01.png,17,71.421,157 Copper Brown 72.454 166 Desert Ochre,#fbfbfb
panel_01.png,18,71.209,Violet,#c3abcd
panel_01.png,19,71.158,Fluoresc: Mage 72.603 Demon Blood,#e8348b
panel_01.png,21,71.650,Gloss Poly: Var,#fefefe
panel_01.png,22,71.404,Nuclear Yellom 72.413 Omega Blue,#f3b391
panel_01.png,23,71.422,Space 72.455 Chameleon Or Grey,#ffffff
panel_01.png,24,71.207,Blue,#e6ebf5
panel_01.png,25,71.159,Fluorescent Vic 72.604 Frost,#cdb5d1
panel_01.png,27,71.651,Matt Poly: Varr,#fefefe
panel_01.png,28,71.405,Martian Orang = 72.414 Caribbean Turc,#f5d1bb
panel_01.png,29,71.423,Black Lotus 72.456 Wicked Purple,#ffffff
panel_01.png,30,71.203,Umber,#c1b5ac
panel_01.png,31,71.160,106 Fluorescent Blue 72.605 94 Green Rust,#007ab9
panel_01.png,33,71.652,Satin Poly: Varnish,#ffffff
panel_01.png,34,71.406,142 Plasma Red 72.415 151 Orc Skin,#fdf8f5
panel_01.png,35,71.448,160 Xpress Medium 72.457 169 Fairy Skin,#ffffff
panel_01.png,36,71.200,Sepia,#c1b19d
panel_01.png,37,71.104,107 Fluorescent Green 72.606 95 Bile,#5ab030
panel_01.png,39,71.653,Ultra Matt Pol. Varn,#ffffff
panel_01.png,40,71.407,143 Velvet Red 72.416 152 Troll Green,#ffffff
panel_01.png,41,71.449,161 Mummy White 72.458 170 Demonic Skin,#ffffff
panel_01.png,42,71.201,Black,#a8a3a6
panel_01.png,43,71.161,108 Fluo. Cold Green 72.607 96 Acid,#00604e
panel_01.png,46,71.408,144 Cardinal Purple 72.417 153 Snake Green,#ffffff
panel_01.png,47,71.450,162 Bag of Bones 72.459 Fluid Pink,#ffffff
panel_01.png,49,71.608,Corrosion,#ffffff
panel_01.png,52,71.409,Deep Purple 72.418 Lizard Green,#ffffff
panel_01.png,53,71.451,Khaki Drill 72.460 Twilight Rose,#ffffff
panel_04.png,0,,,#de2f40
panel_04.png,1,71.001,Dead White,#ffffff
panel_04.png,2,71.004,10 Elf Skin Tone,#c57f53
panel_04.png,3,71.009,19 Hot Orange,#d2d2d2
panel_04.png,4,71.113,28 Deep Magenta 72.118 Sunrise Blue,#d5d5d5
panel_04.png,5,71.025,46 Foul Green,#f1f1f1
panel_04.png,6,71.035,54 Dead Flesh 72.040 Leather Brown,#fcfcfb
panel_04.png,7,71.095,Glacier Blue Game Color Me,#b7d0ec
panel_04.png,8,71.052,Silver Game Color Ink 72.082 109 White,#b3babb
panel_04.png,9,71.010,,#de4851
panel_04.png,10,71.101,Off-White,#ece7d6
panel_04.png,11,71.071,Barbarian Skin,#b9b0a8
panel_04.png,12,71.106,20 Scarlet Blood,#dcdcdc
panel_04.png,13,71.114,29 Lustful Purple 72.023 38 Electric Blue,#d6d6d5
panel_04.png,14,71.026,Jade Green,#e8e8e8
panel_04.png,15,71.031,55 Camouflage Green 72.043 Beasty Brown,#ebebeb
panel_04.png,16,71.102,Steel tallic Grey,#b9bec1
panel_04.png,17,71.053,122 Chainmail 72.093 110 Skin,#d9dbdd
panel_04.png,19,71.098,Elfic Flesh,#f1d6a3
panel_04.png,20,71.109,Toxic Yellow,#e2c33a
panel_04.png,21,71.010,Bloody Red,#c9c9c9
panel_04.png,22,71.076,30 Alien Purple 72.021 39 Magic Blue,#c8c8c8
panel_04.png,23,71.027,Scurvy Green,#dfdfdf
panel_04.png,24,71.145,56 Dirty Grey 72.042 Parasite Brown,#e5e5e5
panel_04.png,25,71.048,Sombre Grey,#373f46
panel_04.png,26,71.054,123 Dark Gunmetal 72.085 Yellow,#6f7075
panel_04.png,28,71.034,Bone White,#d4cbaa
panel_04.png,29,71.005,13 Moon Yellow,#efb806
panel_04.png,30,71.012,22 Scarlet Red,#cacaca
panel_04.png,31,71.015,31 Hexed Lichen 72.020 40 Imperial Blue,#d1d1d1
panel_04.png,32,71.122,49 Bile Green,#e6e6e6
panel_04.png,33,71.067,Cayman Green 72.115 Grunge Brown,#e6e6e6
panel_04.png,34,71.148,Warm Grey,#81655f
panel_04.png,35,71.055,124 Polished Gold 72.086 112 Red,#e8b820
panel_04.png,37,71.003,Pale Flesh,#ce9a7b
panel_04.png,38,71.006,14 Sun Yellow,#f4950c
panel_04.png,39,71.011,23 Gory Red,#cdcdcd
panel_04.png,40,71.016,32 Royal Purple 72.096 Verdigris,#cdcdcc
panel_04.png,41,71.032,50 Scorpy Green,#e0e0e0
panel_04.png,42,71.061,58 Khaki 72.124 Gorgon Brown,#e6e6e6
panel_04.png,43,71.049,76 Stonewall Grey,#615e5c
panel_04.png,44,71.056,125 Glorious Gold 72.083 113 Magenta,#d68727
panel_04.png,46,71.100,Rosy Flesh,#e27262
panel_04.png,47,71.007,15 Gold Yellow,#e77810
panel_04.png,48,71.111,24 Nocturnal Red,#cecdcd
panel_04.png,49,71.116,33 Midnight Purple 72.119 Aquamarine,#cacaca
panel_04.png,50,71.030,51 Goblin Green,#ebebeb
panel_04.png,51,71.063,59 Desert Yellow 72.066 Tan,#e5e5e5
panel_04.png,52,71.050,Neutral Grey,#484844
panel_04.png,53,71.057,126 Bright Bronze 72.087 114 Violet,#a55c0c
panel_04.png,55,71.107,Athena Skin,#d5bbb6
panel_04.png,56,71.038,16 Scrofulous Brown,#cfb79e
