panel,cell_index,code,name,hex
panel_01.png,0,71.001,White Blanco,#f9fbf9
panel_01.png,1,71.010,Interior Green Verde Interior,#686042
panel_01.png,2,71.019,Camou: Dark Green,#4f514b
panel_01.png,3,71.028,Sand Yellow Amarillo Arena,#a38d73
panel_01.png,4,71.037,Mud Marron Lodo Brown,#8e664c
panel_01.png,5,71.046,Pale Blue Azul Gris Claro Grey,#979ca0
panel_01.png,6,71.055,Black Grey RLM66 RLM66 Schwarzgrau,#515657
panel_01.png,7,71.068,Copper (Metallic) Cobre (Metalizado),#9b705f
panel_01.png,8,71.077,Wood Madera,#a9743b
panel_01.png,9,71.086,Light Red Rojo Claro,#e2431f
panel_01.png,10,71.002,Medium Yellow Amarillo Medio,#f9b000
panel_01.png,11,71.011,Dark Green RLM83 RLM83 Dunkelgrin,#525147
panel_01.png,12,71.020,Green Verde Pardo Brown,#4e4d43
panel_01.png,13,71.029,Dark Earth Oscura Tierra,#625745
panel_01.png,14,71.038,Cam: Med: Brown Cam. Pardo Medio,#635142
panel_01.png,15,71.047,Gris IGrey,#575b62
panel_01.png,16,71.056,Panzer Dark RALZ02I Dunkelgrau Grey,#47484a
panel_01.png,17,71.069,Rust (Metallic) Oxido (Metalizado),#846555
panel_01.png,18,71.078,Yellow RLMO4 RLMO4 Gelb,#e9a023
panel_01.png,19,71.087,Steel Blue Azul Acero,#1c4056
panel_01.png,20,71.003,Red RLM23 RLM23 Rot,#c82517
panel_01.png,21,71.012,Dark Green Verde Oscuro,#575743
panel_01.png,22,71.021,Black Green RLMZO RLM7O Schwarzgrin,#454c48
panel_01.png,23,71.030,Brown Green Marron Verdoso,#92714a
panel_01.png,24,71.039,Hull Red Marron Rojizo,#483733
panel_01.png,25,71.048,Engine Gris Motor Gray,#545c68
panel_01.png,26,71.057,Black Negro,#323132
panel_01.png,27,71.070,Signal Red (Metal.) Rojo Senal (Metal ),#d37485
panel_01.png,28,71.079,Tan Earth Tierra,#a8816d
