code,name,type,hex,equivalents,confidence
AK11366,Mustard Yellow,AFV,#bf8d38,,
AK11367,Base Green (Protective),AFV,#fcfcfc,,
AK11368,Russian Green 4B0,AFV,#f1f1f1,,
AK11369,Russian Dark Brown 6K,AFV,#312817,,
AK11370,Russian Sand 7K,AFV,#ebebeb,,
AK11371,Protective Green 1920s-1930s,AFV,#222d1e,,
AK11372,Washable White Paint,AFV,#dfdfdf,,
AK11373,Khaki green No.3,AFV,#a1a49a,,
AK11374,Silver Grey No.28,AFV,#dcdcdc,,
AK11375,Slate No.34,AFV,#c7c6c2,,
AK11377,Light Stone No.61,AFV,#c39646,,
AK11378,Portland Stone No.64,AFV,#cac5bc,,
AK11381,British Dark Olive Green PFI,AFV,#dfdfdf,,
AK11382,British Desert Pink ZI,AFV,#e2e2e2,,
AK11383,British Light Mud,AFV,#c7bfb7,,
AK11384,S.c.c_,AFV,#e9e9e9,,
AK11385,S.cC_,AFV,#cecece,,
AK11386,S.C.C. No.15 Olive Drab,AFV,#f1f1f1,,
AK11387,3B AU/ZB AU,AFV,#f9f9f9,,
AK11401,Base Flesh,FIG,#e7e7e7,,
AK11402,Light Flesh,FIG,#c88b72,,
AK11403,Highlight Flesh,FIG,#d8d0cd,,
AK11404,Shadow Flesh,FIG,#f9f9f9,,
AK11405,Dark Shadow Flesh,FIG,#e1e1e1,,
AK11406,Reddish Black,FIG,#be9795,,
AK11407,Black Uniform Base,FIG,#b3ada9,,
AK11408,Dot44 Brown Base,FIG,#eeeeee,,
AK11409,Orange Tan,FIG,#eaeaea,,
AK11410,Dark Green,FIG,#d1cbc8,,
AK11411,Light Green,FIG,#cecac7,,
AK11412,Medium Green,FIG,#c54039,,
AK11413,Denison Tan Base,FIG,#846140,,
AK11414,Splittermuster Base,FIG,#d7463e,,
AK11415,Splittermuster Green Spots,FIG,#2b3323,,
AK11416,Waffen Brown Grey,FIG,#c54039,,
AK11417,Waffen,FIG,#cec9c7,,
AK11418,Brown Black,FIG,#dadada,,
AK11419,Waffen Red Brown,FIG,#402921,,
AK11420,Waffen Green,FIG,#cebfbd,,
AK11421,Dark Olive Green,FIG,#d7463e,,
AK11422,Ocher Khaki,FIG,#d6d6d6,,
AK11423,Field Grey Base #2,FIG,#aba89f,,
AK11424,Grey Green,FIG,#8f834c,,
AK11425,Field Grey Base #1,FIG,#d63d34,,
AK11426,Grey Blue,FIG,#686d6d,,
AK11427,Green Uniform Base,FIG,#2a2f1d,,
AK11428,Light Green Uniform,FIG,#c54039,,
AK11429,Russian Uniform Lights,FIG,#656729,,
AK11430,Russian Uniform Base,FIG,#d7463e,,
AK11431,Russian Blue Lights,FIG,#1e242e,,
AK11432,Russian Blue Base,FIG,#c54039,,
AK11433,US Olive Base Uniform,FIG,#49411f,,
AK11434,Red Brown,FIG,#d6463e,,
AK11435,Field Drab,FIG,#f9f9f9,,
AK11436,Canvas Tone,FIG,#e1e1e1,,
AK11437,British Uniform Base,FIG,#cecdcb,,
AK11438,British Uniform Lights,FIG,#d6d6d6,,
AK11439,French Greyish Blue,FIG,#aea69b,,
AK11440,Desert Uniform Base,FIG,#e6e6e6,,
AK11801,WWI German Fokker,AIR,#6e6e6e,,
AK11802,WWI German Light Green,AIR,#d2d4d0,,
AK11803,WWI German Dark Green,AIR,#e3e3e3,,
AK11804,WWI German Mauve,AIR,#5c5c5c,,
AK11805,WWI German Red Brown,AIR,#eaeaea,,
AK11806,WWI German Light Blue,AIR,#c1c1c1,,
AK11807,WWI German Lilac,AIR,#5c5c5c,,
AK11808,WWI German Grey-Green Primer,AIR,#f7f7f7,,
AK11809,PC1O Late,AIR,#323425,,
AK11810,PC12,AIR,#bcbbb9,,
AK11811,RLM 02 RLM-Grau (1938),AIR,#d7d7d7,,
AK11812,RLM 02 RLM-Grau (1941),AIR,#f8f8f8,,
