image,raw_reference,reference,name,definition,equivalents,hex,confidence
01 ammo.png,AMIG-0001,MIG-0001,OLIVGRUN OPT.1,RAL 6003,TAMIYA:XF61; MODEL COLOR:70.888,#353a2d,0.8177809291930267
01 ammo.png,AMIG-0002,MIG-0002,OLIVGRUN OPT.2,FS34082-RAL 6003,HOBBY COLOR:H48; MR.COLOR:C52; TAMIYA:XF65; MODEL COLOR:70.890; MODEL AIR:71.092,#525c37,0.8039895164911844
01 ammo.png,A.MIG-0003,MIG-0003,RESEDAGRUN,FS34227-RAL 6011,HOBBY COLOR:H312; MR.COLOR:C312; MODEL COLOR:70.891; MODEL AIR:71.126,#66764f,0.8947584006661146
01 ammo.png,AMIG-0004,MIG-0004,RESEDAGRUN B,RAL 6011,HOBBY COLOR:H340; MR.COLOR:C340,#4c5630,0.9856195091800695
01 ammo.png,A.MIG-0005,MIG-0005,GRAUGRUN,RAL 7008,MODEL AIR:71.116,#5b533b,0.8003193650396019
01 ammo.png,A.MIG-0006,MIG-0006,GRAUGRUN OPT2,RAL 7008,,#827d51,0.7670371401430021
01 ammo.png,AMIG-0007,MIG-0007,DUNKELBRAUN,RAL 7017,MODEL COLOR:70.347; MODEL AIR:71.248,#4d3f32,0.7917988360441458
01 ammo.png,AMIG-0008,MIG-0008,DUNKELGRAU,RAL 7021,HOBBY COLOR:H401; MODEL COLOR:70.862; MODEL AIR:71.056,#272d33,0.8499897063847718
01 ammo.png,AMIG-000g,MIG-0009,SANDGRAU,RAL 7027,HOBBY COLOR:H321; MR.COLOR:C321,#b8a78e,0.8349307573567286
01 ammo.png,AMIG-0010,MIG-0010,DUNKELGELB (MID WAR),RAL 7028,HOBBY COLOR:H403; TAMIYA:XF60; MODEL AIR:71.025,#978745,0.8168112119803048
01 ammo.png,AMIG-0011,MIG-0011,DUNKELGELB AUS '44 DG,FS33440-RAL 7028,MODEL COLOR:70.978,#c3b788,0.8339979683199066
01 ammo.png,AMIG-0012,MIG-0012,DUNKELGELB AUS '44 DG IIl,RAL 7028,,#ccbf99,0.7657345843303225
01 ammo.png,AMIG-0013,MIG-0013,GELBBRAUN,RAL 8000,HOBBY COLOR:H27; MR.COLOR:C44; TAMIYA:XF57; MODEL COLOR:70.879; MODEL AIR:71.272,#aa947c,0.8872687640316922
01 ammo.png,A.MIG-0014,MIG-0014,ROTBRAUN,RAL 8012,HOBBY COLOR:H47 /H460; MR.COLOR:C41; TAMIYA:XF64; MODEL COLOR:70.814; MODEL AIR:71.271,#76341f,0.8992119208345375
01 ammo.png,AMIG-0015,MIG-0015,SCHOKOBRAUN,FS30059-RAL 8017,HOBBY COLOR:H406; TAMIYA:XF10; MODEL COLOR:70.985; MODEL AIR:71.041,#4e3933,0.9348090516885534
01 ammo.png,AMIG-0016,MIG-0016,GELBBRAUN,RAL 8020,,#dbbe7b,0.9993808796690595
01 ammo.png,AMIG-0017,MIG-0017,CREMEWEISS,RAL 9001,MODEL COLOR:70.918; MODEL AIR:71.270,#e5e1bd,0.8029262908088419
01 ammo.png,AMIG-0018,MIG-0018,POLIZEI GRUN,,,#38594f,0.9511629782158229
01 ammo.png,AMIG-0019,MIG-0019,RUSSIAN GREEN,4B0,MODEL COLOR:70.924; MODEL AIR:71.017,#494929,0.8321812082584463
01 ammo.png,AMIG-0020,MIG-0020,RUSSIAN BROWN,6K,MODEL COLOR:70.941; MODEL AIR:71.282,#7c7673,0.7137058847217022
01 ammo.png,AMIG-0021,MIG-0021,RUSSIAN TAN,7K,MODEL COLOR:70.310; MODEL AIR:71.283,#918773,0.7629879281522803
01 ammo.png,AMIG-0022,MIG-0022,BASIC PROTECTOR ALKIDNO-URETANOVAYA,3B AU,MODEL COLOR:70.337; MODEL AIR:71.281,#39301c,0.8987457852144007
01 ammo.png,AMIG-0023,MIG-0023,PROTECTIVE GREEN,FS34227,HOBBY COLOR:H312; MR.COLOR:C312; TAMIYA:XF71,#829e96,0.9196678210854866
01 ammo.png,AMIG-0024,MIG-0024,WASHABLE WHITE CAMO,,,#5e8379,0.9052755254606667
01 ammo.png,AMIG-0025,MIG-0025,US MODERN VEHICLES,FS 33446,MODEL COLOR:70.819; MODEL AIR:71.140,#bf9e7b,0.8692486542406496
01 ammo.png,AMIG-0026,MIG-0026,SAND BROWN,RAL 8031 F9,HOBBY COLOR:H44; MR.COLOR:C51; MODEL COLOR:70.977; MODEL AIR:71.117,#c09d88,0.9164332207636301
01 ammo.png,AMIG-0027,MIG-0027,GERMAN SAND BEIGE,RAL1039 F9,MODEL COLOR:70.917; MODEL AIR:71.244,#bca672,0.8798570935583429
