image,raw_reference,reference,name,equivalents,hex,confidence
01.png,GUNZE SANGYO CONVERSION COLOR CHART,GUNZE SANGYO CONVERSION COLOR CHART,,,#5b5b5b,0.7829894611264051
01.png,GUNZE 10 ml ACRYLIC PAINTS,GUNZE 10 ml ACRYLIC PAINTS,COLOR GUNZE TAMIYA HUMBROL,,#cd9d9a,0.9157061752625808
01.png,IGloss White,IGloss White,HI X2 22 4,,#a6514d,0.8714669204891528
01.png,(Gloss Black,(Gloss Black,H2 X-1 21 7,,#020308,0.8509100057970157
01.png,IGloss Red,IGloss Red,H3 X-7 19 31,,#bf3823,0.954891919422784
01.png,(Gloss Yellow,(Gloss Yellow,H4 X-8 69 12,,#ebda6b,0.964758809172449
01.png,IGloss Blue,IGloss Blue,H5 X3 15 52,,#0e1644,0.9380175838002837
01.png,IGloss Green,IGloss Green,H6 3 62,,#1a275a,0.8712887030933207
01.png,IGloss Brown,IGloss Brown,H7 X-9 10 80,,#ae422d,0.9389629744805414
01.png,Metallic Silver,Metallic Silver,H8 X-I1 11 90,,#b8b8b6,0.9395590003261868
01.png,Metallic Gold,Metallic Gold,H9 X-12 16 94,,#c3a04b,0.9094035929783536
01.png,Metallic Copper,Metallic Copper,H1o XF-6 12 93,,#ac5b3c,0.8534464369421138
01.png,Flat White,Flat White,HI1 XF-2 33 301 / 5,,#ac5b3c,0.7557764612497655
01.png,Flat Black,Flat Black,H12 XF-1 34 302 / 8,,#010202,0.8789590293593545
01.png,Flat Red,Flat Red,H13 XF-7 60 1550,,#c23926,0.8732593563027424
01.png,(Gloss Orange,(Gloss Orange,H14 X-6 18 30,,#c9412d,0.912161610829243
01.png,Gloss Bright Blue,Gloss Bright Blue,H15 X-4 14 51,,#da4727,0.8931509204219978
01.png,IGloss Yellow Green,IGloss Yellow Green,H16 X-15 38 60,,#3d6741,0.9453954793294315
01.png,IGloss Cocoa Brown,IGloss Cocoa Brown,H17 XF-10 10 1533,,#201720,0.9739341882460252
01.png,Metallic Steel,Metallic Steel,Grey H18 X-10 53,,#040404,0.9325344227869685
01.png,IGloss Pink,IGloss Pink,H19 X-17 200,,#df6979,0.8745150525520711
01.png,Flat Clear,Flat Clear,H2O 49 2 1560,,#df6979,0.8183460964176309
01.png,IGloss Off White,IGloss Off White,H21 10 1745,,#3e3e4e,0.9350283092350262
01.png,Gloss Grey,Gloss Grey,H22 XF-53 5,,#3e3e4e,0.9469549406685496
01.png,(Gloss Shine Red,(Gloss Shine Red,H23 60 1590,,#d34025,0.854867467541968
01.png,lGloss Orange Yellow,lGloss Orange Yellow,H24 197 310,,#d35b38,0.8396955961566706
01.png,Gloss Sky Blue,Gloss Sky Blue,H25 X-14 50,,#d35b38,0.9603220230487715
01.png,IGloss Bright Green,IGloss Bright Green,H26 2 61 1524,,#235d44,0.877561860287364
01.png,IGloss Tan,IGloss Tan,H27 9 11,,#988560,0.9651942569557734
01.png,Metallic Black,Metallic Black,H28 201 2713,,#151b23,0.8914687659888069
01.png,(Gloss Salmon Pink,(Gloss Salmon Pink,H29,,#dc5b3e,0.7427978363374996
